LAP001,Laptop Dell,Laptop Dell 15 pulgadas 16GB RAM,Tecnología,2500000.0,10
MOU002,Mouse Logitech,Mouse inalámbrico ergonómico,Tecnología,85000.0,50
TEC003,Teclado Mecánico,Teclado mecánico RGB retroiluminado,Tecnología,320000.0,30
MON004,Monitor LG,Monitor LG 24 pulgadas Full HD,Tecnología,980000.0,15
AUR005,Auriculares Sony,Auriculares inalámbricos con cancelación de ruido,Tecnología,450000.0,20
SIL006,Silla Ergonómica,Silla de oficina con soporte lumbar,Muebles,750000.0,8
ESC007,Escritorio,Escritorio de madera 120x60cm,Muebles,620000.0,5
LAM008,Lámpara LED,Lámpara de escritorio con luz fría y cálida,Hogar,95000.0,40
MOC009,Mochila Samsonite,Mochila impermeable con compartimento laptop,Accesorios,280000.0,25
CAR010,Cargador USB-C,Cargador rápido 65W con cable incluido,Tecnología,120000.0,60
CAM011,Cámara Web,Cámara web Full HD con micrófono integrado,Tecnología,210000.0,18
HUB012,Hub USB,Hub USB 4 puertos 3.0,Tecnología,75000.0,45
ALF013,Alfombrilla,Alfombrilla grande para escritorio,Accesorios,55000.0,70
BOT014,Botella Térmica,Botella térmica acero inoxidable 500ml,Hogar,65000.0,35
AGE015,Agenda 2026,Agenda ejecutiva tapa dura 2026,Papelería,45000.0,80
BOL016,Bolígrafos,Set de bolígrafos tinta gel x10,Papelería,28000.0,100
CUB017,Cubierta Laptop,Cubierta protectora silicona para laptop,Accesorios,35000.0,55
DIS018,Disco Externo,Disco duro externo 1TB USB 3.0,Tecnología,320000.0,12
IMP019,Impresora,Impresora multifuncional WiFi,Tecnología,580000.0,7
PAP020,Papel Carta,Resma papel carta 500 hojas,Papelería,18000.0,150
PLU021,Plumas Fuente,Set plumas fuente con estuche,Papelería,95000.0,20
GRA022,Grapadora,Grapadora metálica con grapas incluidas,Papelería,32000.0,40
TIJ023,Tijeras,Tijeras de oficina acero inoxidable,Papelería,15000.0,60
POS024,Postit,Post-it colores surtidos x100,Papelería,22000.0,90
CAL025,Calculadora,Calculadora científica 240 funciones,Papelería,85000.0,25
VEN026,Ventilador USB,Ventilador de escritorio USB silencioso,Hogar,42000.0,35
POR027,Portalápices,Portalápices metálico organizador,Accesorios,28000.0,50
CLA028,Clasificador,Clasificador archivador A4 con índice,Papelería,35000.0,45
ENG029,Engrapadora,Engrapadora eléctrica automática,Papelería,125000.0,10
FIL030,Filtro Privacidad,Filtro de privacidad para pantalla 15,Tecnología,180000.0,15
